Country;NUTS_Code;Air_Pollutant;Outcome;Affected_Population;Populated_Area[km2];Air_Pollution_Average[ug/m3];Value;;;;;;;;
Austria;AT226;PM2.5;Ischemic heart disease;82724,00;1269,00;6,10;69,00;;;;;;;;
Sweden;SE321;PM2.5;Chronic obstructive pulmonary disease;183044,00;4422,50;2,70;0,00;;;;;;;;
Austria;AT222;PM2.5;Ischemic heart disease;64419,00;906,80;6,00;34,00;;;;;;;;
Sweden;SE122;PM2.5;Chronic obstructive pulmonary disease;216019,00;4120,60;3,70;0,00;;;;;;;;
Austria;AT313;PM2.5;Ischemic heart disease;163111,00;2381,40;8,10;217,00;;;;;;;;
Sweden;SE121;PM2.5;Chronic obstructive pulmonary disease;270094,00;4453,80;3,40;0,00;;;;;;;;
Austria;AT224;PM2.5;Ischemic heart disease;213094,00;2931,20;9,80;389,00;;;;;;;;
Austria;AT225;PM2.5;Ischemic heart disease;154736,00;1925,60;9,80;309,00;;;;;;;;
Sweden;SE322;PM2.5;Chronic obstructive pulmonary disease;100258,00;4104,60;2,30;0,00;;;;;;;;
Austria;AT315;PM2.5;Ischemic heart disease;184951,00;1354,30;8,40;234,00;;;;;;;;
Sweden;SE214;PM2.5;Chronic obstructive pulmonary disease;43479,00;1651,10;4,70;0,00;;;;;;;;
Austria;AT323;PM2.5;Ischemic heart disease;273290,00;1127,80;8,30;436,00;;;;;;;;
Austria;AT311;PM2.5;Ischemic heart disease;219057,00;2589,00;9,60;358,00;;;;;;;;
Austria;AT322;PM2.5;Ischemic heart disease;131094,00;1216,40;5,80;74,00;;;;;;;;
Austria;AT331;PM2.5;Ischemic heart disease;25349,00;227,40;5,00;12,00;;;;;;;;
Sweden;SE311;PM2.5;Chronic obstructive pulmonary disease;216953,00;6554,50;3,40;0,00;;;;;;;;
Austria;AT321;PM2.5;Ischemic heart disease;16485,00;232,40;5,20;5,00;;;;;;;;
Sweden;SE332;PM2.5;Chronic obstructive pulmonary disease;192227,00;4600,80;2,40;0,00;;;;;;;;
Austria;AT332;PM2.5;Ischemic heart disease;230733,00;579,90;6,80;322,00;;;;;;;;
Austria;AT335;PM2.5;Ischemic heart disease;194569,00;1302,10;6,80;186,00;;;;;;;;
Austria;AT314;PM2.5;Ischemic heart disease;123098,00;1230,90;7,80;158,00;;;;;;;;
Sweden;SE312;PM2.5;Chronic obstructive pulmonary disease;219600,00;4416,90;3,00;0,00;;;;;;;;
Sweden;SE313;PM2.5;Chronic obstructive pulmonary disease;215667,00;4520,60;2,90;0,00;;;;;;;;
Austria;AT342;PM2.5;Ischemic heart disease;220914,00;475,50;8,20;355,00;;;;;;;;
Sweden;SE125;PM2.5;Chronic obstructive pulmonary disease;203377,00;2702,20;3,80;0,00;;;;;;;;
Sweden;SE331;PM2.5;Chronic obstructive pulmonary disease;203681,00;5967,30;2,40;0,00;;;;;;;;
Austria;AT341;PM2.5;Ischemic heart disease;70123,00;469,50;5,00;39,00;;;;;;;;
Sweden;SE3;PM2.5;Diabetes Mellitus;1331433,00;34587,20;2,70;0,00;;;;;;;;
Austria;AT;PM2.5;Lung cancer;6750429,00;43050,70;8,50;52,00;;;;;;;;
Austria;AT1;PM2.5;Lung cancer;2911032,00;13165,80;9,10;24,00;;;;;;;;
Austria;AT2;PM2.5;Lung cancer;1421259,00;14065,90;8,60;12,00;;;;;;;;
Austria;AT3;PM2.5;Lung cancer;2418137,00;15819,00;7,90;15,00;;;;;;;;
Austria;AT11;PM2.5;Lung cancer;229445,00;1710,50;10,60;2,00;;;;;;;;
Austria;AT12;PM2.5;Lung cancer;1305023,00;11103,40;8,80;9,00;;;;;;;;
Austria;AT13;PM2.5;Lung cancer;1376563,00;351,90;10,70;12,00;;;;;;;;
Austria;AT22;PM2.5;Lung cancer;973187,00;9222,60;8,60;8,00;;;;;;;;
Austria;AT21;PM2.5;Lung cancer;448072,00;4843,40;8,40;3,00;;;;;;;;
Austria;AT34;PM2.5;Lung cancer;291037,00;945,00;6,60;1,00;;;;;;;;
Austria;AT32;PM2.5;Lung cancer;420871,00;2576,50;6,90;2,00;;;;;;;;
Austria;AT31;PM2.5;Lung cancer;1135135,00;9243,30;8,90;8,00;;;;;;;;
Austria;AT33;PM2.5;Lung cancer;571093,00;3054,10;6,00;2,00;;;;;;;;
Austria;AT111;PM2.5;Lung cancer;30344,00;257,70;9,60;0,00;;;;;;;;
Austria;AT112;PM2.5;Lung cancer;120645,00;521,50;10,80;1,00;;;;;;;;
Austria;AT123;PM2.5;Lung cancer;119660,00;998,30;9,10;0,00;;;;;;;;
Austria;AT124;PM2.5;Lung cancer;176382,00;2612,00;8,10;1,00;;;;;;;;
Austria;AT125;PM2.5;Lung cancer;99230,00;852,30;10,60;0,00;;;;;;;;
Austria;AT127;PM2.5;Lung cancer;261529,00;741,60;9,90;2,00;;;;;;;;
Austria;AT113;PM2.5;Lung cancer;78454,00;931,30;10,70;0,00;;;;;;;;
Austria;AT126;PM2.5;Lung cancer;249820,00;1287,40;10,20;2,00;;;;;;;;
Austria;AT121;PM2.5;Lung cancer;194729,00;2607,30;8,70;1,00;;;;;;;;
Austria;AT122;PM2.5;Lung cancer;203670,00;2004,40;7,60;1,00;;;;;;;;
Austria;AT130;PM2.5;Lung cancer;1376563,00;351,90;10,70;12,00;;;;;;;;
Austria;AT211;PM2.5;Lung cancer;222976,00;1285,50;10,20;2,00;;;;;;;;
Austria;AT223;PM2.5;Lung cancer;132183,00;1180,00;6,90;0,00;;;;;;;;
Austria;AT224;PM2.5;Lung cancer;213094,00;2931,30;9,80;1,00;;;;;;;;
Austria;AT221;PM2.5;Lung cancer;326029,00;1009,80;10,70;4,00;;;;;;;;
Austria;AT222;PM2.5;Lung cancer;64419,00;906,80;6,00;0,00;;;;;;;;
Austria;AT226;PM2.5;Lung cancer;82724,00;1269,00;6,10;0,00;;;;;;;;
Austria;AT212;PM2.5;Lung cancer;102118,00;1275,50;6,90;0,00;;;;;;;;
Austria;AT213;PM2.5;Lung cancer;122977,00;2282,40;8,20;0,00;;;;;;;;
Austria;AT312;PM2.5;Lung cancer;444916,00;1687,80;10,30;4,00;;;;;;;;
Austria;AT331;PM2.5;Lung cancer;25349,00;227,40;5,00;0,00;;;;;;;;
Austria;AT311;PM2.5;Lung cancer;219057,00;2589,00;9,60;1,00;;;;;;;;
Austria;AT313;PM2.5;Lung cancer;163111,00;2381,40;8,10;1,00;;;;;;;;
Austria;AT225;PM2.5;Lung cancer;154736,00;1925,60;9,80;1,00;;;;;;;;
Austria;AT315;PM2.5;Lung cancer;184951,00;1354,30;8,40;1,00;;;;;;;;
Austria;AT322;PM2.5;Lung cancer;131094,00;1216,40;5,80;0,00;;;;;;;;
Austria;AT333;PM2.5;Lung cancer;39690,00;387,50;5,00;0,00;;;;;;;;
Austria;AT334;PM2.5;Lung cancer;80749,00;557,20;4,60;0,00;;;;;;;;
Austria;AT314;PM2.5;Lung cancer;123098,00;1230,90;7,80;0,00;;;;;;;;
Austria;AT332;PM2.5;Lung cancer;230733,00;579,90;6,80;1,00;;;;;;;;
Austria;AT341;PM2.5;Lung cancer;70123,00;469,50;5,00;0,00;;;;;;;;
Austria;AT335;PM2.5;Lung cancer;194569,00;1302,10;6,80;0,00;;;;;;;;
Austria;AT321;PM2.5;Lung cancer;16485,00;232,40;5,20;0,00;;;;;;;;
Austria;AT323;PM2.5;Lung cancer;273290,00;1127,80;8,30;2,00;;;;;;;;
Austria;AT342;PM2.5;Lung cancer;220914,00;475,50;8,20;1,00;;;;;;;;
Austria;AT;PM2.5;Lung cancer;6750429,00;43050,70;8,50;5789,00;;;;;;;;
Sweden;SE32;PM2.5;Diabetes Mellitus;283302,00;8527,10;2,50;0,00;;;;;;;;
Austria;AT1;PM2.5;Lung cancer;2911032,00;13165,80;9,10;2698,00;;;;;;;;
Sweden;SE11;PM2.5;Diabetes Mellitus;1648748,00;4647,60;3,70;0,00;;;;;;;;
Sweden;SE31;PM2.5;Diabetes Mellitus;652221,00;15492,00;3,10;0,00;;;;;;;;
Austria;AT2;PM2.5;Lung cancer;1421259,00;14065,90;8,60;1357,00;;;;;;;;
Sweden;SE33;PM2.5;Diabetes Mellitus;395909,00;10568,10;2,40;0,00;;;;;;;;
Austria;AT3;PM2.5;Lung cancer;2418137,00;15819,00;7,90;1734,00;;;;;;;;
Austria;AT12;PM2.5;Lung cancer;1305023,00;11103,40;8,80;1068,00;;;;;;;;
Austria;AT32;PM2.5;Lung cancer;420871,00;2576,50;6,90;262,00;;;;;;;;
Sweden;SE124;PM2.5;Diabetes Mellitus;224885,00;4172,00;3,90;0,00;;;;;;;;
Sweden;SE122;PM2.5;Diabetes Mellitus;216019,00;4120,60;3,70;0,00;;;;;;;;
Austria;AT21;PM2.5;Lung cancer;448072,00;4843,40;8,40;410,00;;;;;;;;
Austria;AT13;PM2.5;Lung cancer;1376563,00;351,90;10,70;1402,00;;;;;;;;
Sweden;SE125;PM2.5;Diabetes Mellitus;203377,00;2702,20;3,80;0,00;;;;;;;;
Austria;AT33;PM2.5;Lung cancer;571093,00;3054,10;6,00;300,00;;;;;;;;
Sweden;SE110;PM2.5;Diabetes Mellitus;1648748,00;4647,60;3,70;0,00;;;;;;;;
Austria;AT22;PM2.5;Lung cancer;973187,00;9222,60;8,60;946,00;;;;;;;;
Sweden;SE311;PM2.5;Diabetes Mellitus;216953,00;6554,50;3,40;0,00;;;;;;;;
Sweden;SE214;PM2.5;Diabetes Mellitus;43479,00;1651,10;4,70;0,00;;;;;;;;
Austria;AT11;PM2.5;Lung cancer;229445,00;1710,50;10,60;227,00;;;;;;;;
Sweden;SE322;PM2.5;Diabetes Mellitus;100258,00;4104,60;2,30;0,00;;;;;;;;
Sweden;SE332;PM2.5;Diabetes Mellitus;192227,00;4600,80;2,40;0,00;;;;;;;;
Austria;AT34;PM2.5;Lung cancer;291037,00;945,00;6,60;201,00;;;;;;;;
Sweden;SE331;PM2.5;Diabetes Mellitus;203681,00;5967,30;2,40;0,00;;;;;;;;
Austria;AT31;PM2.5;Lung cancer;1135135,00;9243,30;8,90;969,00;;;;;;;;
Austria;AT113;PM2.5;Lung cancer;78454,00;931,30;10,70;79,00;;;;;;;;
Sweden;SE321;PM2.5;Diabetes Mellitus;183044,00;4422,50;2,70;0,00;;;;;;;;
Sweden;SE121;PM2.5;Diabetes Mellitus;270094,00;4453,80;3,40;0,00;;;;;;;;
Austria;AT124;PM2.5;Lung cancer;176382,00;2612,00;8,10;118,00;;;;;;;;
Austria;AT122;PM2.5;Lung cancer;203670,00;2004,40;7,60;138,00;;;;;;;;
Austria;AT123;PM2.5;Lung cancer;119660,00;998,30;9,10;98,00;;;;;;;;
Austria;AT111;PM2.5;Lung cancer;30344,00;257,70;9,60;26,00;;;;;;;;
Sweden;SE313;PM2.5;Diabetes Mellitus;215667,00;4520,60;2,90;0,00;;;;;;;;
Austria;AT121;PM2.5;Lung cancer;194729,00;2607,30;8,70;148,00;;;;;;;;
Sweden;SE312;PM2.5;Diabetes Mellitus;219600,00;4416,90;3,00;0,00;;;;;;;;
Sweden;SE3;PM2.5;Ischemic heart disease;1331433,00;34587,20;2,70;0,00;;;;;;;;
Sweden;SE31;PM2.5;Ischemic heart disease;652221,00;15492,00;3,10;0,00;;;;;;;;
Sweden;SE32;PM2.5;Ischemic heart disease;283302,00;8527,10;2,50;0,00;;;;;;;;
Sweden;SE33;PM2.5;Ischemic heart disease;395909,00;10568,10;2,40;0,00;;;;;;;;
Austria;AT125;PM2.5;Lung cancer;99230,00;852,40;10,60;96,00;;;;;;;;
Austria;AT126;PM2.5;Lung cancer;249820,00;1287,40;10,20;229,00;;;;;;;;
Sweden;SE124;PM2.5;Ischemic heart disease;224885,00;4172,00;3,90;0,00;;;;;;;;
Austria;AT130;PM2.5;Lung cancer;1376563,00;351,90;10,70;1402,00;;;;;;;;
Sweden;SE122;PM2.5;Ischemic heart disease;216019,00;4120,60;3,70;0,00;;;;;;;;
Sweden;SE121;PM2.5;Ischemic heart disease;270094,00;4453,80;3,40;0,00;;;;;;;;
Sweden;SE214;PM2.5;Ischemic heart disease;43479,00;1651,10;4,70;0,00;;;;;;;;
Sweden;SE125;PM2.5;Ischemic heart disease;203377,00;2702,20;3,80;0,00;;;;;;;;
Austria;AT112;PM2.5;Lung cancer;120645,00;521,50;10,80;121,00;;;;;;;;
Sweden;SE311;PM2.5;Ischemic heart disease;216953,00;6554,50;3,40;0,00;;;;;;;;
Austria;AT211;PM2.5;Lung cancer;222976,00;1285,50;10,20;258,00;;;;;;;;
Austria;AT221;PM2.5;Lung cancer;326029,00;1009,80;10,70;460,00;;;;;;;;
Austria;AT212;PM2.5;Lung cancer;102118,00;1275,50;6,90;53,00;;;;;;;;
Austria;AT222;PM2.5;Lung cancer;64419,00;906,80;6,00;17,00;;;;;;;;
Austria;AT223;PM2.5;Lung cancer;132183,00;1180,00;6,90;77,00;;;;;;;;
Austria;AT127;PM2.5;Lung cancer;261529,00;741,60;9,90;238,00;;;;;;;;
Sweden;SE321;PM2.5;Ischemic heart disease;183044,00;4422,50;2,70;0,00;;;;;;;;
Austria;AT225;PM2.5;Lung cancer;154736,00;1925,60;9,80;157,00;;;;;;;;
Sweden;SE313;PM2.5;Ischemic heart disease;215667,00;4520,60;2,90;0,00;;;;;;;;
Sweden;SE322;PM2.5;Ischemic heart disease;100258,00;4104,60;2,30;0,00;;;;;;;;
Austria;AT224;PM2.5;Lung cancer;213094,00;2931,30;9,80;198,00;;;;;;;;
Sweden;SE331;PM2.5;Ischemic heart disease;203681,00;5967,30;2,40;0,00;;;;;;;;
Austria;AT226;PM2.5;Lung cancer;82724,00;1269,00;6,10;35,00;;;;;;;;
Sweden;SE332;PM2.5;Ischemic heart disease;192227,00;4600,80;2,40;0,00;;;;;;;;
Austria;AT314;PM2.5;Lung cancer;123098,00;1230,90;7,80;80,00;;;;;;;;
Sweden;SE312;PM2.5;Ischemic heart disease;219600,00;4416,90;3,00;0,00;;;;;;;;
Austria;AT331;PM2.5;Lung cancer;25349,00;227,40;5,00;6,00;;;;;;;;
Sweden;SE3;PM2.5;Lung cancer;1331433,00;34587,20;2,70;0,00;;;;;;;;
Austria;AT311;PM2.5;Lung cancer;219057,00;2589,00;9,60;182,00;;;;;;;;
Austria;AT213;PM2.5;Lung cancer;122977,00;2282,40;8,20;97,00;;;;;;;;
Austria;AT313;PM2.5;Lung cancer;163111,00;2381,40;8,10;110,00;;;;;;;;
Sweden;SE32;PM2.5;Lung cancer;283302,00;8527,10;2,50;0,00;;;;;;;;
Sweden;SE33;PM2.5;Lung cancer;395909,00;10568,10;2,40;0,00;;;;;;;;
Austria;AT315;PM2.5;Lung cancer;184951,00;1354,30;8,40;119,00;;;;;;;;
Sweden;SE12;PM2.5;Lung cancer;1256998,00;21675,10;3,90;0,00;;;;;;;;
Austria;AT312;PM2.5;Lung cancer;444916,00;1687,80;10,30;476,00;;;;;;;;
Sweden;SE31;PM2.5;Lung cancer;652221,00;15492,00;3,10;0,00;;;;;;;;
Austria;AT321;PM2.5;Lung cancer;16485,00;232,40;5,20;2,00;;;;;;;;
Sweden;SE11;PM2.5;Lung cancer;1648748,00;4647,50;3,70;0,00;;;;;;;;
Austria;AT323;PM2.5;Lung cancer;273290,00;1127,80;8,30;222,00;;;;;;;;
Sweden;SE121;PM2.5;Lung cancer;270094,00;4453,80;3,40;0,00;;;;;;;;
Sweden;SE124;PM2.5;Lung cancer;224885,00;4172,00;3,90;0,00;;;;;;;;
Austria;AT332;PM2.5;Lung cancer;230733,00;579,90;6,80;164,00;;;;;;;;
Sweden;SE122;PM2.5;Lung cancer;216019,00;4120,60;3,70;0,00;;;;;;;;
Sweden;SE123;PM2.5;Lung cancer;342621,00;6226,50;4,40;0,00;;;;;;;;
Sweden;SE311;PM2.5;Lung cancer;216953,00;6554,50;3,40;0,00;;;;;;;;
Austria;AT333;PM2.5;Lung cancer;39690,00;387,40;5,00;13,00;;;;;;;;
Austria;AT322;PM2.5;Lung cancer;131094,00;1216,40;5,80;37,00;;;;;;;;
Austria;AT335;PM2.5;Lung cancer;194569,00;1302,10;6,80;94,00;;;;;;;;
Sweden;SE125;PM2.5;Lung cancer;203377,00;2702,20;3,80;0,00;;;;;;;;
Austria;AT342;PM2.5;Lung cancer;220914,00;475,50;8,20;181,00;;;;;;;;
Sweden;SE321;PM2.5;Lung cancer;183044,00;4422,50;2,70;0,00;;;;;;;;
Austria;AT341;PM2.5;Lung cancer;70123,00;469,50;5,00;20,00;;;;;;;;
Sweden;SE332;PM2.5;Lung cancer;192227,00;4600,80;2,40;0,00;;;;;;;;
Austria;AT334;PM2.5;Lung cancer;80749,00;557,20;4,60;21,00;;;;;;;;
Sweden;SE313;PM2.5;Lung cancer;215667,00;4520,60;2,90;0,00;;;;;;;;
Austria;AT;PM2.5;Stroke;6750429,00;43050,70;8,50;1823,00;;;;;;;;
Austria;AT;NO2;Stroke;6750429,00;43050,70;7,40;671,00;;;;;;;;
Austria;AT1;PM2.5;Stroke;2911032,00;13165,80;9,10;849,00;;;;;;;;
Austria;AT1;NO2;Stroke;2911032,00;13165,80;7,20;362,00;;;;;;;;
Austria;AT3;PM2.5;Stroke;2418137,00;15819,00;7,90;546,00;;;;;;;;
Austria;AT2;NO2;Stroke;1421259,00;14065,90;6,80;101,00;;;;;;;;
Austria;AT3;NO2;Stroke;2418137,00;15819,00;8,10;207,00;;;;;;;;
Austria;AT2;PM2.5;Stroke;1421259,00;14065,90;8,60;427,00;;;;;;;;
Austria;AT12;PM2.5;Stroke;1305023,00;11103,40;8,80;336,00;;;;;;;;
Austria;AT13;NO2;Stroke;1376563,00;351,90;15,00;325,00;;;;;;;;
Austria;AT12;NO2;Stroke;1305023,00;11103,40;7,00;34,00;;;;;;;;
Austria;AT11;NO2;Stroke;229445,00;1710,50;6,90;2,00;;;;;;;;
Austria;AT13;PM2.5;Stroke;1376563,00;351,90;10,70;441,00;;;;;;;;
Austria;AT21;PM2.5;Stroke;448072,00;4843,40;8,40;129,00;;;;;;;;
Austria;AT21;NO2;Stroke;448072,00;4843,40;7,10;29,00;;;;;;;;
Austria;AT31;NO2;Stroke;1135135,00;9243,30;8,30;83,00;;;;;;;;
Austria;AT22;NO2;Stroke;973187,00;9222,60;6,70;71,00;;;;;;;;
Austria;AT34;NO2;Stroke;291037,00;945,00;8,30;29,00;;;;;;;;
Austria;AT11;PM2.5;Stroke;229445,00;1710,50;10,60;71,00;;;;;;;;
Austria;AT33;NO2;Stroke;571093,00;3054,10;7,70;62,00;;;;;;;;
Austria;AT34;PM2.5;Stroke;291037,00;945,00;6,60;63,00;;;;;;;;
Austria;AT22;PM2.5;Stroke;973187,00;9222,60;8,60;298,00;;;;;;;;
Austria;AT32;NO2;Stroke;420871,00;2576,50;7,40;32,00;;;;;;;;
Austria;AT31;PM2.5;Stroke;1135135,00;9243,30;8,90;305,00;;;;;;;;
Austria;AT32;PM2.5;Stroke;420871,00;2576,50;6,90;82,00;;;;;;;;
Austria;AT33;PM2.5;Stroke;571093,00;3054,10;6,00;94,00;;;;;;;;
Austria;AT113;PM2.5;Stroke;78454,00;931,30;10,70;25,00;;;;;;;;
Austria;AT123;NO2;Stroke;119660,00;998,30;7,80;4,00;;;;;;;;
Austria;AT112;PM2.5;Stroke;120645,00;521,50;10,80;38,00;;;;;;;;
Austria;AT113;NO2;Stroke;78454,00;931,30;6,40;0,00;;;;;;;;
Austria;AT111;NO2;Stroke;30344,00;257,70;6,10;0,00;;;;;;;;
Austria;AT121;NO2;Stroke;194729,00;2607,30;7,50;5,00;;;;;;;;
Austria;AT122;PM2.5;Stroke;203670,00;2004,40;7,60;43,00;;;;;;;;
Austria;AT121;PM2.5;Stroke;194729,00;2607,30;8,70;46,00;;;;;;;;
Austria;AT124;NO2;Stroke;176382,00;2612,00;5,90;2,00;;;;;;;;
Austria;AT125;NO2;Stroke;99230,00;852,30;7,80;0,00;;;;;;;;
Austria;AT123;PM2.5;Stroke;119660,00;998,30;9,10;31,00;;;;;;;;
Austria;AT124;PM2.5;Stroke;176382,00;2612,00;8,10;37,00;;;;;;;;
Austria;AT111;PM2.5;Stroke;30344,00;257,70;9,60;8,00;;;;;;;;
Austria;AT125;PM2.5;Stroke;99230,00;852,30;10,60;30,00;;;;;;;;
Austria;AT122;NO2;Stroke;203670,00;2004,40;5,40;4,00;;;;;;;;
Austria;AT126;NO2;Stroke;249820,00;1287,40;8,40;5,00;;;;;;;;
Austria;AT224;PM2.5;Stroke;213094,00;2931,30;9,80;62,00;;;;;;;;
Austria;AT211;NO2;Stroke;222976,00;1285,50;8,70;22,00;;;;;;;;
Austria;AT223;NO2;Stroke;132183,00;1180,00;5,40;6,00;;;;;;;;
Austria;AT126;PM2.5;Stroke;249820,00;1287,40;10,20;72,00;;;;;;;;
Austria;AT127;NO2;Stroke;261529,00;741,70;8,70;10,00;;;;;;;;
Austria;AT112;NO2;Stroke;120645,00;521,50;8,30;1,00;;;;;;;;
Austria;AT130;NO2;Stroke;1376563,00;351,90;15,00;325,00;;;;;;;;
Austria;AT130;PM2.5;Stroke;1376563,00;351,90;10,70;441,00;;;;;;;;
Austria;AT211;PM2.5;Stroke;222976,00;1285,50;10,20;81,00;;;;;;;;
Austria;AT127;PM2.5;Stroke;261529,00;741,70;9,90;75,00;;;;;;;;
Austria;AT212;NO2;Stroke;102118,00;1275,50;6,30;3,00;;;;;;;;
Austria;AT213;PM2.5;Stroke;122977,00;2282,40;8,20;30,00;;;;;;;;
Austria;AT221;NO2;Stroke;326029,00;1009,80;9,60;53,00;;;;;;;;
Austria;AT222;NO2;Stroke;64419,00;906,80;5,10;1,00;;;;;;;;
Austria;AT225;PM2.5;Stroke;154736,00;1925,60;9,80;49,00;;;;;;;;
Austria;AT222;PM2.5;Stroke;64419,00;906,90;6,00;5,00;;;;;;;;
Austria;AT226;NO2;Stroke;82724,00;1269,00;5,40;2,00;;;;;;;;
Austria;AT221;PM2.5;Stroke;326029,00;1009,80;10,70;145,00;;;;;;;;
Austria;AT223;PM2.5;Stroke;132183,00;1180,00;6,90;24,00;;;;;;;;
Austria;AT224;NO2;Stroke;213094,00;2931,30;6,70;3,00;;;;;;;;
Austria;AT212;PM2.5;Stroke;102118,00;1275,50;6,90;16,00;;;;;;;;
Austria;AT213;NO2;Stroke;122977,00;2282,40;6,60;3,00;;;;;;;;
Austria;AT226;PM2.5;Stroke;82724,00;1269,00;6,10;11,00;;;;;;;;
Austria;AT312;NO2;Stroke;444916,00;1687,80;10,80;57,00;;;;;;;;
Austria;AT312;PM2.5;Stroke;444916,00;1687,80;10,30;150,00;;;;;;;;
Austria;AT311;NO2;Stroke;219057,00;2589,00;8,70;7,00;;;;;;;;
Austria;AT313;PM2.5;Stroke;163111,00;2381,40;8,10;34,00;;;;;;;;
Austria;AT315;PM2.5;Stroke;184951,00;1354,30;8,40;37,00;;;;;;;;
Austria;AT225;NO2;Stroke;154736,00;1925,60;7,30;4,00;;;;;;;;
Austria;AT313;NO2;Stroke;163111,00;2381,40;6,60;3,00;;;;;;;;
Austria;AT315;NO2;Stroke;184951,00;1354,30;8,50;7,00;;;;;;;;
Austria;AT321;PM2.5;Stroke;16485,00;232,40;5,20;0,00;;;;;;;;
Austria;AT314;PM2.5;Stroke;123098,00;1230,90;7,80;25,00;;;;;;;;
Austria;AT322;NO2;Stroke;131094,00;1216,40;6,30;6,00;;;;;;;;
Austria;AT331;PM2.5;Stroke;25349,00;227,40;5,00;2,00;;;;;;;;
Austria;AT311;PM2.5;Stroke;219057,00;2589,00;9,60;57,00;;;;;;;;
Austria;AT333;PM2.5;Stroke;39690,00;387,50;5,00;4,00;;;;;;;;
Austria;AT335;PM2.5;Stroke;194569,00;1302,10;6,80;29,00;;;;;;;;
Austria;AT332;NO2;Stroke;230733,00;579,90;9,60;38,00;;;;;;;;
Austria;AT333;NO2;Stroke;39690,00;387,50;5,90;2,00;;;;;;;;
Austria;AT321;NO2;Stroke;16485,00;232,40;5,00;0,00;;;;;;;;
Austria;AT314;NO2;Stroke;123098,00;1230,90;7,40;6,00;;;;;;;;
Austria;AT323;PM2.5;Stroke;273290,00;1127,80;8,30;70,00;;;;;;;;
Austria;AT322;PM2.5;Stroke;131094,00;1216,40;5,80;11,00;;;;;;;;
Austria;AT332;PM2.5;Stroke;230733,00;579,90;6,80;51,00;;;;;;;;
Austria;AT331;NO2;Stroke;25349,00;227,40;5,70;1,00;;;;;;;;
Austria;AT334;NO2;Stroke;80749,00;557,20;6,30;4,00;;;;;;;;
Austria;AT334;PM2.5;Stroke;80749,00;557,20;4,60;6,00;;;;;;;;
Austria;AT342;NO2;Stroke;220914,00;475,50;10,40;24,00;;;;;;;;
Austria;AT341;NO2;Stroke;70123,00;469,50;6,10;4,00;;;;;;;;
Austria;AT323;NO2;Stroke;273290,00;1127,80;8,90;26,00;;;;;;;;
Austria;AT335;NO2;Stroke;194569,00;1302,10;8,30;15,00;;;;;;;;
Austria;AT341;PM2.5;Stroke;70123,00;469,50;5,00;6,00;;;;;;;;
Austria;AT342;PM2.5;Stroke;220914,00;475,50;8,20;57,00;;;;;;;;
Austria;AT;PM2.5;Stroke;6750429,00;43050,70;8,50;4287,00;;;;;;;;
Austria;AT;NO2;Stroke;6750429,00;43050,70;7,40;1088,00;;;;;;;;
Sweden;SE312;PM2.5;Lung cancer;219600,00;4416,90;3,00;0,00;;;;;;;;
Austria;AT;NO2;Stroke;6750429,00;43050,70;7,40;132,00;;;;;;;;
Sweden;SE214;PM2.5;Lung cancer;43479,00;1651,10;4,70;0,00;;;;;;;;
Austria;AT1;NO2;Stroke;2911032,00;13165,80;7,20;71,00;;;;;;;;
Austria;AT1;NO2;Stroke;2911032,00;13165,80;7,20;588,00;;;;;;;;
Austria;AT1;PM2.5;Stroke;2911032,00;13165,80;9,10;1998,00;;;;;;;;
Sweden;SE322;PM2.5;Lung cancer;100258,00;4104,60;2,30;0,00;;;;;;;;
Austria;AT2;NO2;Stroke;1421259,00;14065,90;6,80;19,00;;;;;;;;
Austria;AT2;NO2;Stroke;1421259,00;14065,90;6,80;164,00;;;;;;;;
Austria;AT3;NO2;Stroke;2418137,00;15819,00;8,10;335,00;;;;;;;;
Austria;AT3;NO2;Stroke;2418137,00;15819,00;8,10;40,00;;;;;;;;
Sweden;SE110;PM2.5;Lung cancer;1648748,00;4647,50;3,70;0,00;;;;;;;;
Austria;AT3;PM2.5;Stroke;2418137,00;15819,00;7,90;1286,00;;;;;;;;
Austria;AT2;PM2.5;Stroke;1421259,00;14065,90;8,60;1002,00;;;;;;;;
Sweden;SE331;PM2.5;Lung cancer;203681,00;5967,30;2,40;0,00;;;;;;;;
Austria;AT11;NO2;Stroke;229445,00;1710,50;6,90;0,00;;;;;;;;
Sweden;SE3;PM2.5;Stroke;1331433,00;34587,20;2,70;0,00;;;;;;;;
Sweden;SE11;PM2.5;Stroke;1648748,00;4647,50;3,70;0,00;;;;;;;;
Sweden;SE32;PM2.5;Stroke;283302,00;8527,10;2,50;0,00;;;;;;;;
Austria;AT33;PM2.5;Stroke;571093,00;3054,10;6,00;223,00;;;;;;;;
Austria;AT12;NO2;Stroke;1305023,00;11103,40;7,00;6,00;;;;;;;;
Sweden;SE31;PM2.5;Stroke;652221,00;15492,00;3,10;0,00;;;;;;;;
Austria;AT12;PM2.5;Stroke;1305023,00;11103,40;8,80;792,00;;;;;;;;
Austria;AT13;NO2;Stroke;1376563,00;351,90;15,00;529,00;;;;;;;;
Austria;AT11;PM2.5;Stroke;229445,00;1710,50;10,60;168,00;;;;;;;;
Austria;AT13;NO2;Stroke;1376563,00;351,90;15,00;64,00;;;;;;;;
Austria;AT21;PM2.5;Stroke;448072,00;4843,40;8,40;303,00;;;;;;;;
